Experience_Years,Education_Years,Hours_Per_Week,Certifications,Salary_LPA
23.0,16.0,43.0,2.0,107.24
23.0,19.0,41.0,0.0,110.18
0.0,13.0,49.0,,69.35
21.0,16.0,40.0,1.0,96.98
4.0,11.0,45.0,6.0,88.92
3.0,10.0,58.0,2.0,88.53
1.0,16.0,46.0,1.0,83.61
3.0,16.0,50.0,2.0,85.89
1.0,10.0,40.0,0.0,61.73
19.0,16.0,32.0,1.0,88.98
4.0,19.0,30.0,0.0,71.01
19.0,,42.0,0.0,90.07
1.0,18.0,36.0,0.0,71.57
5.0,,51.0,1.0,80.85
9.0,11.0,31.0,1.0,65.69
17.0,12.0,36.0,0.0,81.95
2.0,11.0,45.0,3.0,79.33
19.0,13.0,45.0,2.0,105.91
18.0,10.0,50.0,1.0,95.65
18.0,13.0,37.0,4.0,99.08
21.0,15.0,49.0,4.0,114.41
23.0,14.0,44.0,,121.33
3.0,13.0,45.0,2.0,81.43
11.0,18.0,34.0,1.0,77.71
15.0,11.0,52.0,3.0,
16.0,15.0,54.0,2.0,114.34
,11.0,43.0,1.0,89.76
11.0,19.0,36.0,0.0,88.8
9.0,,38.0,2.0,86.36
9.0,11.0,47.0,,88.25
12.0,12.0,43.0,2.0,91.35
3.0,,49.0,2.0,87.97
14.0,16.0,55.0,3.0,108.85
,10.0,53.0,2.0,96.01
20.0,10.0,56.0,0.0,112.53
21.0,18.0,32.0,3.0,104.48
15.0,16.0,40.0,0.0,96.98
3.0,10.0,59.0,2.0,79.76
16.0,10.0,38.0,1.0,78.8
4.0,11.0,52.0,2.0,87.61
11.0,15.0,48.0,1.0,94.43
8.0,11.0,,1.0,81.48
22.0,17.0,47.0,3.0,118.41
11.0,14.0,45.0,4.0,98.25
15.0,15.0,49.0,4.0,108.43
23.0,15.0,46.0,2.0,114.96
13.0,11.0,51.0,2.0,93.68
18.0,14.0,30.0,2.0,101.14
7.0,11.0,34.0,1.0,67.29
,15.0,44.0,0.0,69.36
12.0,18.0,40.0,0.0,93.62
12.0,10.0,58.0,2.0,95.27
15.0,17.0,35.0,1.0,
8.0,10.0,45.0,0.0,75.75
22.0,10.0,30.0,1.0,87.23
6.0,18.0,53.0,2.0,97.5
21.0,16.0,55.0,2.0,129.6
6.0,13.0,55.0,3.0,91.87
21.0,14.0,57.0,1.0,110.73
12.0,14.0,38.0,0.0,69.27
7.0,16.0,39.0,0.0,74.24
17.0,15.0,33.0,2.0,285.45
10.0,14.0,56.0,2.0,94.91
15.0,16.0,45.0,1.0,98.05
5.0,17.0,36.0,2.0,82.41
4.0,16.0,34.0,2.0,73.73
20.0,15.0,37.0,0.0,102.44
9.0,14.0,56.0,2.0,185.14
9.0,11.0,34.0,4.0,82.25
0.0,,51.0,2.0,74.96
22.0,10.0,59.0,1.0,123.18
2.0,15.0,39.0,2.0,67.4
12.0,11.0,33.0,2.0,82.53
6.0,17.0,44.0,0.0,87.02
,11.0,48.0,,88.69
2.0,19.0,52.0,0.0,81.63
10.0,14.0,52.0,,89.99
14.0,13.0,59.0,0.0,106.26
20.0,10.0,32.0,1.0,87.11
17.0,16.0,36.0,2.0,87.99
6.0,18.0,31.0,1.0,74.31
10.0,10.0,44.0,0.0,83.63
17.0,15.0,33.0,1.0,99.53
5.0,17.0,50.0,0.0,86.85
,,52.0,,100.47
17.0,15.0,41.0,1.0,103.41
22.0,17.0,54.0,,116.84
12.0,10.0,51.0,1.0,81.86
9.0,10.0,59.0,,85.26
8.0,,48.0,0.0,77.36
22.0,19.0,53.0,3.0,129.55
15.0,19.0,39.0,2.0,98.05
5.0,12.0,44.0,1.0,67.42
9.0,11.0,55.0,0.0,86.66
23.0,14.0,31.0,1.0,99.37
21.0,12.0,37.0,2.0,323.86
4.0,18.0,,2.0,71.86
12.0,15.0,49.0,1.0,89.82
9.0,12.0,37.0,,75.36
11.0,11.0,32.0,0.0,64.71
6.0,18.0,44.0,3.0,93.53
24.0,12.0,40.0,0.0,
1.0,18.0,51.0,0.0,76.01
21.0,18.0,38.0,1.0,107.24
21.0,11.0,54.0,1.0,114.44
11.0,16.0,39.0,0.0,83.09
24.0,14.0,49.0,4.0,122.36
19.0,,30.0,1.0,90.07
23.0,17.0,49.0,1.0,119.23
23.0,17.0,48.0,2.0,119.37
12.0,13.0,45.0,0.0,81.32
,12.0,40.0,1.0,85.0
13.0,19.0,40.0,1.0,97.86
4.0,15.0,34.0,2.0,73.71
7.0,15.0,55.0,2.0,86.92
21.0,15.0,36.0,2.0,102.91
9.0,18.0,36.0,0.0,78.85
6.0,12.0,38.0,1.0,68.99
15.0,15.0,37.0,,99.84
11.0,18.0,44.0,1.0,97.35
18.0,13.0,55.0,3.0,122.9
16.0,16.0,30.0,2.0,85.52
5.0,16.0,34.0,2.0,63.87
3.0,19.0,34.0,,
13.0,13.0,42.0,0.0,82.33
0.0,19.0,,1.0,89.96
21.0,18.0,49.0,1.0,113.24
23.0,16.0,51.0,1.0,118.15
1.0,17.0,42.0,2.0,79.54
13.0,16.0,46.0,0.0,88.44
8.0,15.0,58.0,4.0,115.69
20.0,17.0,33.0,2.0,105.44
14.0,10.0,51.0,1.0,98.16
,14.0,49.0,2.0,99.32
9.0,10.0,50.0,1.0,90.49
10.0,12.0,39.0,0.0,78.56
0.0,15.0,35.0,5.0,77.5
2.0,17.0,43.0,0.0,75.45
16.0,16.0,31.0,2.0,93.72
23.0,18.0,42.0,0.0,106.84
6.0,14.0,59.0,2.0,100.83
18.0,14.0,35.0,1.0,86.05
9.0,10.0,35.0,1.0,68.76
9.0,12.0,45.0,1.0,77.25
13.0,11.0,30.0,2.0,70.86
,18.0,40.0,2.0,111.78
11.0,15.0,52.0,4.0,102.15
1.0,,34.0,1.0,67.1
14.0,10.0,52.0,5.0,100.67
16.0,14.0,31.0,2.0,91.39
16.0,14.0,44.0,2.0,91.9
17.0,10.0,56.0,1.0,104.2
14.0,10.0,37.0,3.0,74.36
1.0,11.0,55.0,1.0,76.66
21.0,12.0,47.0,1.0,110.47
19.0,14.0,58.0,0.0,111.36
18.0,17.0,30.0,1.0,
,17.0,51.0,4.0,89.15
,18.0,53.0,2.0,103.35
10.0,17.0,47.0,1.0,99.62
20.0,11.0,30.0,1.0,89.41
8.0,18.0,32.0,1.0,68.27
23.0,,52.0,3.0,122.18
1.0,16.0,41.0,1.0,68.21
4.0,,53.0,3.0,95.36
12.0,,,2.0,210.14
19.0,19.0,45.0,2.0,111.3
22.0,17.0,47.0,0.0,110.26
10.0,12.0,52.0,0.0,84.74
7.0,16.0,51.0,2.0,92.76
17.0,10.0,47.0,1.0,99.66
15.0,11.0,53.0,1.0,99.19
0.0,15.0,59.0,2.0,91.15
18.0,16.0,46.0,0.0,93.7
7.0,14.0,45.0,1.0,80.16
12.0,15.0,35.0,4.0,84.32
16.0,11.0,,0.0,94.14
0.0,17.0,40.0,,63.31
12.0,15.0,46.0,1.0,92.06
9.0,13.0,40.0,2.0,81.48
14.0,18.0,36.0,2.0,88.28
24.0,12.0,31.0,3.0,104.74
2.0,15.0,44.0,2.0,74.55
16.0,16.0,47.0,0.0,97.83
11.0,16.0,49.0,2.0,106.11
5.0,11.0,54.0,4.0,91.48
,14.0,52.0,3.0,105.71
16.0,13.0,53.0,3.0,98.23
9.0,18.0,43.0,1.0,87.37
11.0,14.0,50.0,2.0,
10.0,16.0,35.0,1.0,86.03
0.0,17.0,36.0,1.0,58.27
8.0,10.0,45.0,2.0,78.4
4.0,14.0,57.0,5.0,101.72
5.0,17.0,49.0,3.0,86.76
11.0,16.0,33.0,3.0,84.36
17.0,16.0,42.0,3.0,107.84
14.0,15.0,45.0,0.0,104.37
10.0,10.0,42.0,3.0,84.31
20.0,18.0,34.0,0.0,83.95
16.0,,41.0,2.0,105.05
7.0,12.0,46.0,1.0,74.6
,14.0,41.0,1.0,101.94
18.0,11.0,50.0,3.0,100.39
16.0,14.0,47.0,2.0,102.79
14.0,,56.0,1.0,108.93
15.0,,37.0,1.0,107.43
13.0,18.0,55.0,0.0,103.95
19.0,16.0,47.0,0.0,107.22
9.0,10.0,41.0,2.0,72.33
13.0,10.0,46.0,1.0,94.29
24.0,12.0,47.0,2.0,113.81
3.0,10.0,48.0,1.0,70.5
7.0,13.0,39.0,2.0,82.71
17.0,12.0,40.0,3.0,95.77
10.0,14.0,56.0,0.0,92.79
0.0,15.0,40.0,2.0,68.04
1.0,,52.0,,87.57
11.0,,42.0,2.0,93.95
4.0,16.0,49.0,1.0,82.04
6.0,18.0,34.0,5.0,80.87
17.0,11.0,47.0,0.0,97.08
14.0,19.0,47.0,0.0,97.79
12.0,14.0,31.0,2.0,82.79
11.0,13.0,37.0,1.0,80.47
12.0,18.0,51.0,2.0,108.37
16.0,10.0,59.0,1.0,
17.0,14.0,56.0,0.0,
0.0,19.0,32.0,0.0,57.65
11.0,11.0,30.0,2.0,80.17
1.0,17.0,49.0,2.0,87.67
8.0,19.0,40.0,0.0,78.58
20.0,12.0,48.0,2.0,108.77
1.0,14.0,47.0,0.0,71.04
15.0,13.0,56.0,0.0,103.13
22.0,14.0,56.0,2.0,132.44
24.0,15.0,38.0,2.0,
21.0,19.0,51.0,1.0,123.27
2.0,18.0,30.0,1.0,67.6
12.0,19.0,53.0,1.0,97.24
4.0,11.0,30.0,2.0,64.44
12.0,,52.0,0.0,97.14
23.0,19.0,55.0,1.0,127.05
20.0,10.0,48.0,0.0,113.62
11.0,11.0,,0.0,74.74
17.0,12.0,49.0,2.0,100.09
,13.0,55.0,2.0,
24.0,10.0,30.0,1.0,92.35
21.0,18.0,40.0,0.0,113.07
,15.0,58.0,1.0,116.19
22.0,13.0,45.0,1.0,112.73
18.0,11.0,30.0,1.0,76.47
5.0,10.0,36.0,2.0,72.94
7.0,19.0,51.0,2.0,93.28
23.0,,51.0,1.0,120.33
5.0,18.0,56.0,1.0,94.65
5.0,12.0,52.0,1.0,84.29
6.0,17.0,54.0,4.0,
16.0,12.0,,,255.6
10.0,14.0,46.0,1.0,86.7
22.0,17.0,53.0,0.0,122.32
14.0,14.0,50.0,,121.61
4.0,13.0,40.0,3.0,80.69
14.0,10.0,53.0,,96.14
,11.0,34.0,2.0,76.17
13.0,10.0,,1.0,80.66
2.0,11.0,33.0,1.0,59.42
12.0,16.0,48.0,1.0,95.49
,11.0,51.0,1.0,119.91
24.0,15.0,35.0,1.0,110.37
23.0,19.0,38.0,2.0,116.03
16.0,14.0,58.0,1.0,104.49
14.0,18.0,33.0,1.0,94.74
,13.0,37.0,1.0,69.19
8.0,13.0,,1.0,69.96
9.0,19.0,59.0,2.0,104.68
12.0,17.0,52.0,2.0,242.77
23.0,17.0,55.0,1.0,122.46
7.0,11.0,52.0,1.0,95.12
14.0,17.0,45.0,2.0,105.59
6.0,17.0,45.0,2.0,88.68
2.0,18.0,59.0,2.0,97.74
5.0,12.0,40.0,2.0,74.82
22.0,18.0,51.0,2.0,120.87
17.0,14.0,55.0,0.0,97.47
14.0,13.0,36.0,,93.94
9.0,14.0,44.0,0.0,
3.0,18.0,41.0,2.0,80.52
15.0,17.0,,1.0,99.38
20.0,16.0,41.0,2.0,102.92
0.0,,51.0,3.0,210.84
3.0,15.0,38.0,1.0,64.45
21.0,17.0,33.0,1.0,94.2
,16.0,36.0,5.0,80.28
20.0,17.0,39.0,2.0,102.3
0.0,18.0,43.0,3.0,68.1
20.0,10.0,43.0,1.0,95.9
1.0,11.0,52.0,0.0,67.08
21.0,15.0,44.0,0.0,112.59
2.0,12.0,38.0,1.0,61.61
11.0,17.0,,4.0,
,16.0,46.0,3.0,102.93
11.0,15.0,58.0,4.0,109.65
4.0,19.0,52.0,2.0,90.8
8.0,18.0,38.0,6.0,95.18
13.0,16.0,58.0,,97.2
11.0,11.0,51.0,,89.13
7.0,13.0,44.0,2.0,79.04
21.0,15.0,37.0,1.0,108.71
7.0,14.0,42.0,4.0,95.46
21.0,,46.0,1.0,103.8
19.0,10.0,59.0,2.0,
7.0,12.0,43.0,3.0,85.96
22.0,19.0,39.0,1.0,106.43
13.0,14.0,40.0,3.0,85.73
18.0,10.0,59.0,3.0,117.61
3.0,19.0,45.0,3.0,76.93
,12.0,56.0,2.0,101.78
1.0,17.0,55.0,0.0,84.71
8.0,,35.0,1.0,79.02
20.0,10.0,32.0,1.0,92.18
15.0,11.0,43.0,3.0,99.35
10.0,12.0,35.0,,77.03
18.0,15.0,41.0,2.0,104.12
17.0,15.0,44.0,0.0,
7.0,16.0,56.0,1.0,99.61
0.0,13.0,59.0,0.0,75.01
8.0,11.0,41.0,0.0,71.67
13.0,18.0,57.0,,110.39
24.0,14.0,49.0,1.0,107.73
12.0,11.0,54.0,0.0,100.19
17.0,12.0,48.0,1.0,95.22
2.0,14.0,41.0,0.0,67.22
3.0,11.0,36.0,4.0,70.0
0.0,16.0,50.0,2.0,72.94
17.0,11.0,32.0,1.0,83.28
11.0,10.0,59.0,2.0,97.52
1.0,13.0,,2.0,87.23
5.0,11.0,,1.0,77.17
5.0,14.0,57.0,1.0,77.99
22.0,10.0,53.0,1.0,114.32
16.0,18.0,47.0,0.0,96.64
9.0,19.0,54.0,0.0,95.89
19.0,14.0,55.0,2.0,112.71
11.0,14.0,40.0,,78.7
18.0,15.0,44.0,2.0,104.66
,15.0,38.0,0.0,103.71
2.0,15.0,38.0,0.0,74.19
15.0,19.0,36.0,2.0,97.13
,16.0,43.0,4.0,86.7
20.0,15.0,32.0,1.0,98.27
16.0,15.0,37.0,1.0,85.96
10.0,10.0,48.0,1.0,85.0
0.0,11.0,49.0,4.0,83.02
13.0,11.0,33.0,1.0,78.17
2.0,15.0,42.0,3.0,74.27
22.0,,31.0,2.0,111.2
3.0,19.0,50.0,1.0,
9.0,12.0,47.0,0.0,76.51
21.0,13.0,37.0,0.0,
15.0,19.0,53.0,0.0,111.01
20.0,18.0,36.0,0.0,101.71
13.0,10.0,54.0,0.0,99.63
6.0,15.0,38.0,3.0,75.31
9.0,14.0,35.0,1.0,83.37
9.0,10.0,49.0,5.0,95.5
9.0,12.0,33.0,2.0,74.37
4.0,12.0,47.0,0.0,78.58
8.0,18.0,44.0,2.0,82.66
12.0,19.0,48.0,2.0,117.12
2.0,13.0,42.0,1.0,59.93
4.0,19.0,49.0,2.0,92.48
22.0,16.0,37.0,1.0,111.19
5.0,10.0,34.0,1.0,60.19
15.0,10.0,34.0,,81.64
3.0,19.0,49.0,1.0,89.03
5.0,19.0,58.0,0.0,99.32
18.0,10.0,53.0,1.0,
22.0,15.0,53.0,2.0,115.35
14.0,16.0,48.0,2.0,260.85
14.0,13.0,46.0,0.0,85.34
4.0,15.0,30.0,1.0,52.0
19.0,12.0,30.0,0.0,89.7
18.0,19.0,51.0,0.0,112.4
12.0,13.0,,2.0,101.54
5.0,14.0,54.0,3.0,90.07
14.0,15.0,48.0,1.0,108.34
23.0,10.0,57.0,2.0,121.86
5.0,15.0,50.0,0.0,75.85
24.0,17.0,56.0,0.0,125.57
11.0,15.0,48.0,2.0,100.0
21.0,16.0,36.0,2.0,104.32
2.0,17.0,33.0,0.0,55.79
16.0,15.0,53.0,1.0,106.23
,13.0,33.0,1.0,68.65
19.0,13.0,37.0,3.0,98.61
2.0,19.0,51.0,2.0,
18.0,16.0,38.0,1.0,94.59
,19.0,51.0,1.0,92.91
4.0,14.0,48.0,2.0,82.47
3.0,17.0,35.0,3.0,78.1
4.0,12.0,43.0,0.0,
8.0,17.0,49.0,2.0,90.46
7.0,18.0,51.0,1.0,90.66
10.0,10.0,54.0,1.0,91.25
16.0,12.0,47.0,0.0,88.41
2.0,18.0,38.0,1.0,67.67
7.0,12.0,42.0,1.0,77.1
24.0,12.0,,1.0,112.29
10.0,10.0,45.0,1.0,83.12
8.0,17.0,42.0,4.0,91.01
4.0,17.0,58.0,0.0,80.53
0.0,13.0,32.0,2.0,53.44
20.0,15.0,37.0,,
17.0,11.0,50.0,4.0,115.9
23.0,12.0,39.0,3.0,
20.0,11.0,44.0,0.0,94.26
16.0,11.0,41.0,0.0,88.95
17.0,14.0,35.0,1.0,93.59
16.0,19.0,36.0,0.0,92.45
10.0,19.0,57.0,3.0,
22.0,15.0,59.0,1.0,115.67
18.0,13.0,47.0,3.0,245.8
0.0,13.0,52.0,1.0,75.59
2.0,10.0,39.0,6.0,74.35
20.0,12.0,43.0,1.0,
15.0,,45.0,0.0,87.52
20.0,12.0,38.0,4.0,104.82
17.0,13.0,45.0,2.0,98.64
10.0,14.0,55.0,1.0,88.26
0.0,,,3.0,71.84
0.0,,34.0,3.0,66.22
2.0,,52.0,1.0,89.49
3.0,10.0,53.0,1.0,71.11
,19.0,55.0,1.0,124.5
22.0,12.0,53.0,2.0,118.37
9.0,11.0,44.0,3.0,86.42
3.0,11.0,59.0,0.0,83.73
21.0,19.0,35.0,0.0,106.33
6.0,12.0,40.0,1.0,74.18
13.0,17.0,43.0,4.0,102.32
24.0,,53.0,2.0,117.33
22.0,10.0,31.0,1.0,91.31
23.0,16.0,41.0,,114.03
19.0,12.0,31.0,1.0,95.81
11.0,10.0,54.0,2.0,95.65
24.0,16.0,,1.0,109.22
11.0,10.0,55.0,0.0,84.71
21.0,18.0,52.0,2.0,119.81
22.0,12.0,34.0,,111.18
4.0,10.0,34.0,0.0,67.14
2.0,10.0,50.0,0.0,69.02
7.0,16.0,,1.0,84.2
9.0,19.0,31.0,2.0,90.11
22.0,10.0,36.0,5.0,110.68
10.0,13.0,48.0,2.0,86.96
8.0,15.0,57.0,2.0,103.64
6.0,17.0,30.0,0.0,66.75
17.0,16.0,45.0,0.0,94.49
16.0,16.0,51.0,1.0,106.82
7.0,19.0,54.0,0.0,92.1
22.0,13.0,59.0,4.0,325.53
24.0,16.0,31.0,3.0,106.29
21.0,11.0,32.0,0.0,88.15
4.0,13.0,56.0,0.0,77.02
14.0,19.0,45.0,1.0,107.22
3.0,16.0,35.0,0.0,70.28
16.0,,37.0,2.0,96.84
23.0,16.0,56.0,0.0,121.39
14.0,16.0,47.0,,101.21
12.0,10.0,30.0,1.0,84.1
4.0,16.0,56.0,2.0,88.28
16.0,10.0,35.0,4.0,94.39
8.0,16.0,53.0,1.0,102.69
21.0,15.0,40.0,2.0,102.31
,16.0,55.0,1.0,81.64
7.0,13.0,46.0,4.0,84.5
11.0,11.0,33.0,2.0,77.12
5.0,14.0,35.0,1.0,
12.0,15.0,49.0,0.0,99.3
1.0,19.0,53.0,2.0,
21.0,14.0,,2.0,119.09
20.0,12.0,30.0,3.0,96.31
17.0,18.0,32.0,2.0,92.44
22.0,19.0,,0.0,120.38
21.0,19.0,47.0,5.0,131.39
6.0,10.0,34.0,1.0,67.46
11.0,19.0,,0.0,106.11
24.0,13.0,54.0,0.0,121.96
,11.0,,2.0,66.52
,11.0,40.0,3.0,76.44
,15.0,47.0,2.0,110.63
,11.0,40.0,2.0,
22.0,10.0,53.0,1.0,114.69
2.0,18.0,37.0,3.0,79.02
10.0,13.0,42.0,4.0,97.17
13.0,11.0,49.0,2.0,
3.0,16.0,,1.0,78.35
1.0,12.0,34.0,,60.01
6.0,19.0,47.0,1.0,89.58
7.0,18.0,33.0,1.0,73.01
16.0,15.0,44.0,2.0,108.51
16.0,12.0,38.0,2.0,84.73
4.0,12.0,35.0,0.0,67.78
23.0,,48.0,1.0,100.96
0.0,14.0,37.0,,58.58
18.0,18.0,46.0,,105.43
9.0,17.0,39.0,2.0,75.89
6.0,10.0,41.0,1.0,73.91
17.0,15.0,31.0,0.0,90.55
2.0,16.0,33.0,0.0,72.47
14.0,12.0,37.0,2.0,93.47
14.0,15.0,35.0,3.0,98.16
2.0,18.0,32.0,1.0,61.67
8.0,18.0,48.0,2.0,90.51
13.0,14.0,42.0,,91.96
9.0,13.0,32.0,3.0,78.42
,13.0,52.0,1.0,165.99
18.0,15.0,38.0,0.0,96.46
20.0,11.0,59.0,0.0,107.57
23.0,11.0,31.0,0.0,92.8
23.0,14.0,44.0,2.0,112.84
15.0,10.0,35.0,1.0,193.13
13.0,16.0,,1.0,111.1
1.0,19.0,43.0,0.0,82.27
,16.0,45.0,1.0,65.91
1.0,11.0,35.0,3.0,63.99
24.0,12.0,59.0,2.0,122.67
7.0,11.0,43.0,3.0,
4.0,18.0,49.0,2.0,87.34
10.0,11.0,57.0,5.0,98.43
15.0,13.0,34.0,3.0,97.56
22.0,15.0,33.0,0.0,
11.0,14.0,33.0,0.0,72.63
1.0,13.0,50.0,2.0,80.93
20.0,13.0,40.0,0.0,97.84
8.0,14.0,,0.0,136.72
23.0,18.0,54.0,1.0,
14.0,11.0,,1.0,89.32
19.0,12.0,42.0,,92.6
3.0,,40.0,1.0,75.2
14.0,19.0,55.0,3.0,125.3
22.0,16.0,34.0,,105.43
20.0,19.0,39.0,1.0,107.94
21.0,12.0,55.0,3.0,114.48
23.0,,32.0,2.0,105.19
14.0,10.0,50.0,,87.28
10.0,12.0,31.0,1.0,72.09
12.0,12.0,39.0,1.0,83.52
14.0,10.0,43.0,1.0,229.7
13.0,14.0,36.0,1.0,86.39
23.0,14.0,43.0,4.0,
6.0,17.0,43.0,0.0,80.31
24.0,11.0,44.0,2.0,111.44
24.0,12.0,55.0,0.0,117.84
22.0,,34.0,1.0,100.62
2.0,14.0,39.0,2.0,72.48
18.0,18.0,39.0,4.0,103.68
18.0,13.0,39.0,2.0,96.27
11.0,11.0,39.0,,80.53
5.0,13.0,35.0,0.0,60.47
17.0,,56.0,2.0,117.98
20.0,16.0,55.0,0.0,110.48
17.0,17.0,53.0,2.0,112.09
4.0,19.0,58.0,0.0,97.45
11.0,11.0,,0.0,83.21
5.0,18.0,32.0,3.0,70.6
3.0,16.0,49.0,1.0,79.91
13.0,18.0,35.0,2.0,88.78
5.0,14.0,37.0,2.0,
24.0,13.0,,1.0,
7.0,15.0,37.0,3.0,78.14
0.0,,36.0,1.0,62.73
10.0,15.0,37.0,,80.84
12.0,16.0,42.0,0.0,79.84
24.0,13.0,51.0,4.0,123.39
15.0,18.0,51.0,0.0,106.02
21.0,12.0,33.0,8.0,
4.0,17.0,59.0,1.0,106.34
12.0,17.0,56.0,3.0,113.72
13.0,17.0,43.0,4.0,103.01
0.0,19.0,,2.0,64.66
20.0,,39.0,3.0,99.24
23.0,12.0,33.0,2.0,105.92
,16.0,40.0,0.0,61.68
22.0,18.0,34.0,2.0,111.96
11.0,10.0,43.0,2.0,88.82
11.0,16.0,33.0,0.0,79.62
1.0,18.0,34.0,1.0,67.57
0.0,15.0,56.0,2.0,87.24
7.0,11.0,59.0,2.0,92.71
,18.0,52.0,1.0,92.52
16.0,18.0,42.0,4.0,101.92
3.0,16.0,40.0,3.0,75.21
6.0,19.0,31.0,1.0,74.84
23.0,15.0,45.0,1.0,107.7
4.0,10.0,52.0,0.0,76.08
8.0,18.0,53.0,0.0,93.07
14.0,15.0,50.0,0.0,92.85
23.0,10.0,59.0,2.0,
9.0,12.0,59.0,3.0,108.3
22.0,16.0,58.0,1.0,377.96
19.0,19.0,51.0,2.0,112.11
2.0,13.0,54.0,2.0,84.56
21.0,17.0,52.0,1.0,114.45
12.0,16.0,50.0,3.0,101.1
20.0,10.0,34.0,0.0,83.69
10.0,17.0,,0.0,83.56
17.0,18.0,40.0,1.0,93.66
1.0,14.0,41.0,2.0,75.5
5.0,17.0,31.0,1.0,78.22
12.0,,48.0,2.0,92.88
17.0,18.0,41.0,1.0,95.18
18.0,11.0,34.0,0.0,94.51
13.0,12.0,57.0,1.0,102.87
17.0,10.0,51.0,3.0,98.47
23.0,15.0,43.0,1.0,106.57
,,44.0,5.0,114.74
17.0,19.0,41.0,3.0,103.55
2.0,14.0,41.0,2.0,75.96
8.0,13.0,33.0,4.0,76.21
22.0,11.0,32.0,1.0,93.8
13.0,14.0,30.0,2.0,80.71
15.0,10.0,45.0,3.0,102.04
5.0,13.0,40.0,2.0,72.44
22.0,19.0,47.0,1.0,
8.0,18.0,,2.0,96.62
19.0,11.0,52.0,0.0,108.75
18.0,12.0,30.0,1.0,86.11
1.0,10.0,45.0,1.0,58.7
13.0,15.0,33.0,1.0,93.55
21.0,17.0,46.0,0.0,112.45
0.0,15.0,59.0,0.0,81.64
,12.0,59.0,2.0,110.07
19.0,19.0,45.0,2.0,111.85
7.0,11.0,54.0,1.0,86.38
,,55.0,2.0,93.23
12.0,16.0,,2.0,106.97
4.0,14.0,54.0,2.0,81.29
0.0,16.0,40.0,3.0,66.67
5.0,13.0,33.0,2.0,72.19
2.0,17.0,42.0,0.0,73.83
15.0,12.0,38.0,2.0,94.06
21.0,16.0,42.0,0.0,98.75
22.0,12.0,43.0,0.0,104.63
9.0,16.0,44.0,1.0,87.06
22.0,15.0,46.0,3.0,118.29
23.0,12.0,,1.0,100.55
21.0,14.0,51.0,1.0,117.46
23.0,17.0,30.0,1.0,102.64
11.0,13.0,42.0,1.0,86.49
20.0,13.0,40.0,2.0,104.63
10.0,17.0,42.0,1.0,91.48
8.0,16.0,43.0,0.0,81.95
11.0,10.0,46.0,4.0,106.59
23.0,10.0,57.0,3.0,128.38
7.0,17.0,47.0,2.0,94.68
24.0,12.0,45.0,2.0,308.13
3.0,16.0,53.0,3.0,87.09
15.0,10.0,37.0,0.0,81.7
19.0,10.0,57.0,1.0,109.4
7.0,19.0,50.0,1.0,93.97
16.0,14.0,34.0,1.0,89.57
16.0,19.0,,0.0,90.92
6.0,17.0,52.0,2.0,100.74
7.0,18.0,56.0,1.0,95.02
13.0,10.0,,1.0,79.12
